Wave,TAU_spectrpol_S,TAU_spectrpol_P,TAU_spectrpol,TAU_spectr,coat_Rs,coat_Rp,coat_R,echelle_Rs,echelle_Rp,echelle_R,CD_Rs,CD_Rp,CD_R,dDOPED_QE,R_percent,EFF,Read Noise,Sky,Dark,BEF,Disp_Width,XDisp_Width
504.0,0.031627,0.032983,0.031702,0.042412,0.97826,0.97826,0.97826,0.20463,0.23329,0.21244,0.60772,0.5559,0.58676,0.885,0.907,0.042412,0.0,0.0,5e-06,5.65e-20,3.1,3.1
504.4,0.082404,0.068587,0.077743,0.10401,0.97821,0.97821,0.97821,0.5415,0.49412,0.52969,0.59867,0.54607,0.57741,0.88489,0.907,0.10401,0.0,0.0,5e-06,5.65e-20,3.1,3.1
504.8,0.086339,0.073094,0.081741,0.10935,0.97816,0.97816,0.97816,0.57638,0.53653,0.5664,0.58962,0.53624,0.56806,0.88478,0.907,0.10935,0.0,0.0,5e-06,5.65e-20,3.1,3.1
505.2,0.090109,0.077383,0.085559,0.11446,0.9781,0.9781,0.9781,0.61125,0.57894,0.60311,0.58058,0.52641,0.55871,0.88467,0.907,0.11446,0.0,0.0,5e-06,5.65e-20,3.1,3.1
505.6,0.092297,0.080293,0.087871,0.11755,0.97804,0.97804,0.97804,0.63637,0.61249,0.63031,0.57153,0.51658,0.54935,0.88456,0.907,0.11755,0.0,0.0,5e-06,5.65e-20,3.1,3.1
506.0,0.086479,0.076581,0.082666,0.11059,0.97798,0.97798,0.97798,0.6062,0.59586,0.6036,0.56249,0.50675,0.54,0.88445,0.907,0.11059,0.0,0.0,5e-06,5.65e-20,3.1,3.1
506.4,0.080808,0.072957,0.077596,0.1038,0.97792,0.97792,0.97792,0.57603,0.57922,0.57689,0.55344,0.49692,0.53065,0.88434,0.907,0.1038,0.0,0.0,5e-06,5.65e-20,3.1,3.1
506.8,0.084243,0.079389,0.081995,0.10969,0.97786,0.97786,0.97786,0.53536,0.55058,0.53933,0.62115,0.56918,0.60012,0.88424,0.907,0.10969,0.0,0.0,5e-06,5.65e-20,3.1,3.1
507.2,0.076945,0.074793,0.075624,0.10116,0.9778,0.9778,0.9778,0.46319,0.48596,0.46921,0.65608,0.60786,0.63656,0.88413,0.907,0.10116,0.0,0.0,5e-06,5.65e-20,3.1,3.1
507.6,0.06407,0.0638,0.063382,0.084787,0.97774,0.97774,0.97774,0.39103,0.42133,0.39908,0.64746,0.59835,0.62758,0.88402,0.907,0.084787,0.0,0.0,5e-06,5.65e-20,3.1,3.1
508.0,0.051648,0.05279,0.051469,0.068849,0.97767,0.97767,0.97767,0.31964,0.35443,0.32894,0.63883,0.58885,0.61861,0.88391,0.907,0.068849,0.0,0.0,5e-06,5.65e-20,3.1,3.1
508.4,0.039806,0.041421,0.039881,0.053347,0.97761,0.97761,0.97761,0.24985,0.28281,0.25876,0.6302,0.57934,0.60963,0.8838,0.907,0.053347,0.0,0.0,5e-06,5.65e-20,3.1,3.1
508.8,0.02828,0.030408,0.028623,0.038287,0.97755,0.97755,0.97755,0.18006,0.21118,0.18858,0.62158,0.56983,0.60066,0.88369,0.907,0.038287,0.0,0.0,5e-06,5.65e-20,3.1,3.1
509.2,0.086549,0.073165,0.081984,0.10966,0.97749,0.97749,0.97749,0.55908,0.51701,0.54861,0.61295,0.56032,0.59169,0.88358,0.907,0.10966,0.0,0.0,5e-06,5.65e-20,3.1,3.1
509.6,0.090702,0.078041,0.086235,0.11535,0.97743,0.97743,0.97743,0.59454,0.56125,0.58622,0.60432,0.55081,0.58271,0.88347,0.907,0.11535,0.0,0.0,5e-06,5.65e-20,3.1,3.1
510.0,0.094698,0.082702,0.090313,0.1208,0.97737,0.97737,0.97737,0.63001,0.60548,0.62383,0.59569,0.54131,0.57374,0.88336,0.907,0.1208,0.0,0.0,5e-06,5.65e-20,3.1,3.1
510.4,0.093997,0.083315,0.089935,0.1203,0.97732,0.97732,0.97732,0.63479,0.62112,0.63134,0.58707,0.5318,0.56476,0.88325,0.907,0.1203,0.0,0.0,5e-06,5.65e-20,3.1,3.1
510.8,0.088329,0.079691,0.084861,0.11351,0.97726,0.97726,0.97726,0.60564,0.60515,0.60557,0.57844,0.52229,0.55579,0.88314,0.907,0.11351,0.0,0.0,5e-06,5.65e-20,3.1,3.1
511.2,0.085738,0.079385,0.082957,0.11096,0.97721,0.97721,0.97721,0.57649,0.58918,0.5798,0.5901,0.5346,0.5677,0.88303,0.907,0.11096,0.0,0.0,5e-06,5.65e-20,3.1,3.1
511.6,0.085544,0.082249,0.083771,0.11205,0.97715,0.97715,0.97715,0.5258,0.5484,0.5317,0.64582,0.59535,0.62541,0.88292,0.907,0.11205,0.0,0.0,5e-06,5.65e-20,3.1,3.1
512.0,0.076844,0.07607,0.075936,0.10156,0.9771,0.9771,0.9771,0.45356,0.4828,0.46127,0.67283,0.62572,0.65376,0.88281,0.907,0.10156,0.0,0.0,5e-06,5.65e-20,3.1,3.1
512.4,0.06375,0.064692,0.063426,0.084832,0.97705,0.97705,0.97705,0.38132,0.4172,0.39084,0.66412,0.61598,0.64465,0.8827,0.907,0.084832,0.0,0.0,5e-06,5.65e-20,3.1,3.1
512.8,0.051218,0.053106,0.051271,0.068575,0.97699,0.97699,0.97699,0.31052,0.34808,0.32057,0.65541,0.60624,0.63553,0.88259,0.907,0.068575,0.0,0.0,5e-06,5.65e-20,3.1,3.1
513.2,0.039194,0.041431,0.039463,0.052781,0.97694,0.97694,0.97694,0.2409,0.27608,0.25041,0.6467,0.5965,0.62641,0.88248,0.907,0.052781,0.0,0.0,5e-06,5.65e-20,3.1,3.1
513.6,0.02748,0.030114,0.027983,0.037426,0.97689,0.97689,0.97689,0.17128,0.20408,0.18026,0.63799,0.58677,0.6173,0.88237,0.907,0.037426,0.0,0.0,5e-06,5.65e-20,3.1,3.1
514.0,0.089473,0.076849,0.085112,0.11383,0.97684,0.97684,0.97684,0.5656,0.52979,0.5567,0.62928,0.57703,0.60818,0.88226,0.907,0.11383,0.0,0.0,5e-06,5.65e-20,3.1,3.1
514.4,0.093843,0.081851,0.089553,0.11977,0.97679,0.97679,0.97679,0.60175,0.57415,0.59486,0.62057,0.56729,0.59907,0.88215,0.907,0.11977,0.0,0.0,5e-06,5.65e-20,3.1,3.1
514.8,0.098051,0.086632,0.093817,0.12547,0.97674,0.97674,0.97674,0.63789,0.6185,0.63301,0.61186,0.55755,0.58995,0.88205,0.907,0.12547,0.0,0.0,5e-06,5.65e-20,3.1,3.1
515.2,0.096518,0.08652,0.092644,0.1239,0.97669,0.97669,0.97669,0.6372,0.62889,0.63512,0.60315,0.54782,0.58083,0.88194,0.90696,0.1239,0.0,0.0,5e-06,5.65e-20,3.1,3.1
515.6,0.090924,0.082965,0.087636,0.1172,0.97664,0.97664,0.97664,0.60928,0.61419,0.61059,0.59444,0.53808,0.57172,0.88183,0.90688,0.1172,0.0,0.0,5e-06,5.65e-20,3.1,3.1
516.0,0.090015,0.084614,0.087504,0.11702,0.97659,0.97659,0.97659,0.58136,0.59948,0.58606,0.61695,0.5624,0.59493,0.88177,0.9068,0.11702,0.0,0.0,5e-06,5.65e-20,3.1,3.1
516.4,0.087922,0.085525,0.086405,0.11555,0.97653,0.97653,0.97653,0.5287,0.55584,0.53577,0.66277,0.61322,0.64274,0.88181,0.9067200000000001,0.11555,0.0,0.0,5e-06,5.65e-20,3.1,3.1
516.8,0.079128,0.079201,0.078462,0.10493,0.97648,0.97648,0.97648,0.45775,0.49081,0.46645,0.68907,0.64325,0.67054,0.88185,0.90664,0.10493,0.0,0.0,5e-06,5.65e-20,3.1,3.1
517.2,0.066024,0.067662,0.065894,0.08812,0.97643,0.97643,0.97643,0.38681,0.42578,0.39713,0.68056,0.63359,0.66157,0.88189,0.90656,0.08812,0.0,0.0,5e-06,5.65e-20,3.1,3.1
517.6,0.05337,0.055822,0.053576,0.071646,0.97637,0.97637,0.97637,0.3167,0.35679,0.32739,0.67204,0.62393,0.65259,0.88193,0.9064800000000001,0.071646,0.0,0.0,5e-06,5.65e-20,3.1,3.1
518.0,0.041134,0.043821,0.041522,0.055526,0.97632,0.97632,0.97632,0.24727,0.28454,0.25732,0.66352,0.61427,0.64362,0.88196,0.9064,0.055526,0.0,0.0,5e-06,5.65e-20,3.1,3.1
518.4,0.029198,0.032172,0.029786,0.039831,0.97626,0.97626,0.97626,0.17785,0.2123,0.18725,0.65501,0.60461,0.63465,0.882,0.90632,0.039831,0.0,0.0,5e-06,5.65e-20,3.1,3.1
