Wave,TAU_spectrpol_S,TAU_spectrpol_P,TAU_spectrpol,TAU_spectr,coat_Rs,coat_Rp,coat_R,echelle_Rs,echelle_Rp,echelle_R,CD_Rs,CD_Rp,CD_R,dDOPED_QE,R_percent,EFF,Read Noise,Sky,Dark,BEF,Disp_Width,XDisp_Width
1003.2,0.093365,0.14625,0.10683,0.1418,0.98179,0.98179,0.98179,0.53012,0.89971,0.62681,0.77256,0.71303,0.74765,0.78328,0.9393199999999999,0.1418,0.0,0.0,5e-06,5.65e-20,3.1,3.1
1004.0,0.10055,0.16632,0.11774,0.15627,0.98182,0.98182,0.98182,0.53639,0.92261,0.63811,0.82188,0.79033,0.80895,0.78336,0.9393999999999999,0.15627,0.0,0.0,5e-06,5.65e-20,3.1,3.1
1004.8,0.10041,0.18022,0.12188,0.16178,0.98184,0.98184,0.98184,0.51078,0.88877,0.61096,0.86147,0.88858,0.87421,0.78344,0.93948,0.16178,0.0,0.0,5e-06,5.65e-20,3.1,3.1
1005.6,0.092588,0.1678,0.11292,0.14988,0.98186,0.98186,0.98186,0.47453,0.836,0.57098,0.85438,0.8789,0.86604,0.78353,0.93956,0.14988,0.0,0.0,5e-06,5.65e-20,3.1,3.1
1006.4,0.084721,0.15403,0.10354,0.13742,0.98188,0.98188,0.98188,0.43829,0.78324,0.531,0.84578,0.8605,0.85316,0.78361,0.9396399999999999,0.13742,0.0,0.0,5e-06,5.65e-20,3.1,3.1
1007.2,0.072949,0.1324,0.089131,0.1183,0.98189,0.98189,0.98189,0.38099,0.68742,0.46377,0.83717,0.84211,0.84029,0.78369,0.93972,0.1183,0.0,0.0,5e-06,5.65e-20,3.1,3.1
1008.0,0.060813,0.11038,0.07436,0.098693,0.98191,0.98191,0.98191,0.32067,0.58546,0.39266,0.82857,0.82371,0.82741,0.78377,0.9398,0.098693,0.0,0.0,5e-06,5.65e-20,3.1,3.1
1008.8,0.048891,0.089168,0.05998,0.079607,0.98192,0.98192,0.98192,0.26036,0.48349,0.32154,0.81997,0.80531,0.81454,0.78385,0.9398799999999999,0.079607,0.0,0.0,5e-06,5.65e-20,3.1,3.1
1009.6,0.080227,0.12309,0.091187,0.12102,0.98192,0.98192,0.98192,0.43153,0.68268,0.49642,0.81136,0.78691,0.80167,0.78393,0.9399599999999999,0.12102,0.0,0.0,5e-06,5.65e-20,3.1,3.1
1010.4,0.088733,0.13658,0.10099,0.13404,0.98193,0.98193,0.98193,0.48217,0.77524,0.55849,0.80276,0.76851,0.78879,0.78401,0.9410799999999999,0.13404,0.0,0.0,5e-06,5.65e-20,3.1,3.1
1011.2,0.096055,0.14786,0.10934,0.14511,0.98192,0.98192,0.98192,0.52738,0.85946,0.61443,0.79416,0.75012,0.77592,0.7841,0.94124,0.14511,0.0,0.0,5e-06,5.65e-20,3.1,3.1
1012.0,0.096352,0.14862,0.10982,0.14575,0.98191,0.98191,0.98191,0.53463,0.88532,0.62735,0.78555,0.73172,0.76304,0.78418,0.9413999999999999,0.14575,0.0,0.0,5e-06,5.65e-20,3.1,3.1
1012.8,0.096599,0.14913,0.1102,0.14626,0.9819,0.9819,0.9819,0.54188,0.91118,0.64027,0.77695,0.71332,0.75017,0.78426,0.94156,0.14626,0.0,0.0,5e-06,5.65e-20,3.1,3.1
1013.6,0.10644,0.18145,0.12667,0.1681,0.98188,0.98188,0.98188,0.5382,0.91779,0.64003,0.86185,0.86154,0.86245,0.78434,0.94172,0.1681,0.0,0.0,5e-06,5.65e-20,3.1,3.1
1014.4,0.098823,0.17719,0.12034,0.15971,0.98186,0.98186,0.98186,0.50172,0.86665,0.60029,0.85831,0.89095,0.87357,0.78442,0.9418799999999999,0.15971,0.0,0.0,5e-06,5.65e-20,3.1,3.1
