Wave,TAU_spectrpol_S,TAU_spectrpol_P,TAU_spectrpol,flip_TE,flip_TM,flip_NP,polarimeter_TAU,coat_Rs,coat_Rp,coat_R,echelle_Rs,echelle_Rp,echelle_R,CD_Rs,CD_Rp,CD_R,dDOPED_QE,R_percent,EFF,Read Noise,Sky,Dark,BEF,Disp_Width,XDisp_Width
117.3,0.0098504,0.0029383,0.0086905,0.61567,0.58289,0.64846,0.12271,0.67234,0.6722,0.67247,0.81322,0.23201,0.65366,0.88596,0.97901,0.92274,0.59543,0.7676,0.0086905,0.0,2.8e-05,5e-06,1.516e-20,3.1,3.1
117.4,0.0096972,0.0029539,0.008572,0.6154,0.58202,0.64878,0.12263,0.67209,0.67195,0.67222,0.80273,0.23421,0.64599,0.88615,0.97883,0.92278,0.59501,0.7688,0.008572,0.0,2.87e-05,5e-06,1.549e-20,3.1,3.1
117.5,0.0095145,0.0029599,0.0084278,0.61513,0.58116,0.6491,0.12256,0.67185,0.67171,0.67199,0.78968,0.23564,0.63626,0.88633,0.97864,0.92282,0.59459,0.77,0.0084278,0.0,2.93e-05,5e-06,1.582e-20,3.1,3.1
117.6,0.0093336,0.002966,0.0082839,0.61487,0.58031,0.64942,0.12249,0.67162,0.67148,0.67175,0.77663,0.23706,0.62654,0.88651,0.97846,0.92287,0.59417,0.7712,0.0082839,0.0,3e-05,5e-06,1.618e-20,3.1,3.1
117.7,0.0091535,0.0029719,0.008141,0.61462,0.57948,0.64976,0.12242,0.67139,0.67126,0.67153,0.76357,0.23849,0.61681,0.88665,0.97815,0.92284,0.59375,0.7724000000000001,0.008141,0.0,3.08e-05,5e-06,1.655e-20,3.1,3.1
117.8,0.0089749,0.0029779,0.0079992,0.61438,0.57866,0.65011,0.12235,0.67117,0.67104,0.67132,0.75052,0.23992,0.60708,0.8868,0.97785,0.92281,0.59333,0.7736,0.0079992,0.0,3.15e-05,5e-06,1.694e-20,3.1,3.1
117.9,0.008798,0.0029839,0.0078578,0.61415,0.57785,0.65046,0.12229,0.67097,0.67083,0.67111,0.73747,0.24134,0.59736,0.88694,0.97754,0.92278,0.59291,0.7748,0.0078578,0.0,3.24e-05,5e-06,1.735e-20,3.1,3.1
118.0,0.0086217,0.0029898,0.0077174,0.61393,0.57705,0.65082,0.12222,0.67076,0.67061,0.67091,0.72442,0.24277,0.58763,0.88708,0.97724,0.92276,0.59248,0.776,0.0077174,0.0,3.32e-05,5e-06,1.779e-20,3.1,3.1
118.1,0.008253,0.0029036,0.0074005,0.61371,0.57627,0.65115,0.12215,0.67054,0.67039,0.67069,0.69513,0.2367,0.5645,0.88722,0.97693,0.92273,0.59206,0.7752000000000001,0.0074005,0.0,3.41e-05,5e-06,1.825e-20,3.1,3.1
118.2,0.0078605,0.0028072,0.0070604,0.6134,0.57553,0.65128,0.12208,0.67024,0.6701,0.67039,0.66404,0.2298,0.53989,0.88737,0.97662,0.9227,0.59164,0.7744,0.0070604,0.0,3.51e-05,5e-06,1.873e-20,3.1,3.1
118.3,0.0074705,0.0027114,0.0067221,0.6131,0.57479,0.65142,0.12201,0.66995,0.6698,0.6701,0.63296,0.2229,0.51527,0.88751,0.97632,0.92267,0.59122,0.7736000000000001,0.0067221,0.0,3.62e-05,5e-06,1.925e-20,3.1,3.1
118.4,0.0070826,0.0026162,0.0063849,0.61281,0.57406,0.65156,0.12193,0.66966,0.6695,0.6698,0.60187,0.216,0.49065,0.88765,0.97601,0.92264,0.59079,0.7727999999999999,0.0063849,0.0,3.73e-05,5e-06,1.98e-20,3.1,3.1
118.5,0.0066962,0.0025218,0.0060494,0.61252,0.57333,0.65171,0.12185,0.66936,0.66921,0.66951,0.57078,0.2091,0.46603,0.8878,0.97571,0.92261,0.59037,0.772,0.0060494,0.0,3.85e-05,5e-06,2.038e-20,3.1,3.1
118.6,0.0063125,0.0024281,0.0057155,0.61224,0.57261,0.65186,0.12176,0.66908,0.66892,0.66923,0.5397,0.2022,0.44142,0.88794,0.9754,0.92259,0.58994,0.7712000000000001,0.0057155,0.0,3.98e-05,5e-06,2.101e-20,3.1,3.1
118.7,0.0059307,0.0023351,0.0053829,0.61196,0.5719,0.65202,0.12166,0.6688,0.66864,0.66895,0.50861,0.1953,0.4168,0.88808,0.97509,0.92256,0.58952,0.7704,0.0053829,0.0,4.11e-05,5e-06,2.167e-20,3.1,3.1
118.8,0.0055143,0.0021928,0.0050125,0.61168,0.57119,0.65217,0.12156,0.66851,0.66836,0.66866,0.47441,0.18421,0.38916,0.88822,0.97479,0.92253,0.58909,0.7696000000000001,0.0050125,0.0,4.26e-05,5e-06,2.239e-20,3.1,3.1
118.9,0.0051007,0.0020515,0.0046442,0.61142,0.5705,0.65234,0.12144,0.66824,0.66808,0.66839,0.44021,0.17311,0.36152,0.88837,0.97448,0.9225,0.58866,0.7687999999999999,0.0046442,0.0,4.41e-05,5e-06,2.316e-20,3.1,3.1
119.0,0.0046889,0.0019113,0.0042774,0.61115,0.5698,0.65251,0.12132,0.66796,0.6678,0.66812,0.40601,0.16202,0.33389,0.88851,0.97417,0.92247,0.58824,0.768,0.0042774,0.0,4.58e-05,5e-06,2.399e-20,3.1,3.1
