Wave,TAU_spectr_S,TAU_spectr_P,TAU_spectr,dichro_RHO,coat_Rs,coat_Rp,coat_R,echelle_Rs,echelle_Rp,echelle_R,CD_Rs,CD_Rp,CD_R,dDOPED_QE,R_percent,EFF,Read Noise,Sky,Dark,BEF,Disp_Width,XDisp_Width
137.33,0.077922,0.059262,0.070862,0.61874,0.89664,0.89648,0.89656,0.76071,0.61107,0.70633,0.75997,0.71992,0.74454,0.5375,0.7300099999999999,0.070862,0.0,6.014999999999991e-06,5e-06,7.039899999999996e-21,3.1,3.1
137.53,0.081263,0.061895,0.073985,0.62018,0.89656,0.8964,0.89648,0.75533,0.60273,0.7,0.79382,0.75812,0.78006,0.5383,0.72941,0.073985,0.0,5.915000000000002e-06,5e-06,7.0062e-21,3.1,3.1
137.73,0.084299,0.064237,0.076809,0.62163,0.89642,0.89626,0.89634,0.74996,0.59438,0.69367,0.8251,0.79372,0.813,0.53909,0.72881,0.076809,0.0,5.825000000000002e-06,5e-06,6.974200000000001e-21,3.1,3.1
137.93,0.080367,0.061089,0.073221,0.62307,0.89589,0.89573,0.89581,0.69819,0.54869,0.64428,0.84174,0.8146,0.8313,0.53987,0.7282099999999999,0.073221,0.0,5.727999999999992e-06,5e-06,6.942499999999997e-21,3.1,3.1
138.13,0.074861,0.05665,0.068164,0.61893,0.89531,0.89515,0.89523,0.64127,0.49884,0.59009,0.85838,0.83548,0.84959,0.54063,0.72735,0.068164,0.0,5.638000000000002e-06,5e-06,6.9115e-21,3.1,3.1
138.33,0.068524,0.05143,0.062281,0.61178,0.89472,0.89456,0.89464,0.58435,0.44899,0.53591,0.87139,0.85166,0.86384,0.54139,0.7263499999999999,0.062281,0.0,5.5479999999999925e-06,5e-06,6.882499999999997e-21,3.1,3.1
138.53,0.060655,0.044674,0.054827,0.60464,0.89414,0.89398,0.89406,0.52743,0.39914,0.48173,0.86383,0.84119,0.85514,0.54213,0.7253499999999999,0.054827,0.0,5.465000000000002e-06,5e-06,6.854100000000002e-21,3.1,3.1
138.73,0.052073,0.037736,0.046852,0.5975,0.89356,0.8934,0.89348,0.46185,0.34517,0.42047,0.85626,0.83071,0.84645,0.54287,0.72435,0.046852,0.0,5.378000000000002e-06,5e-06,6.8271e-21,3.1,3.1
138.93,0.04355,0.030974,0.038981,0.59035,0.89297,0.89282,0.8929,0.39411,0.29017,0.35745,0.84869,0.82024,0.83776,0.54359,0.7233499999999999,0.038981,0.0,5.297999999999993e-06,5e-06,6.800399999999999e-21,3.1,3.1
139.13,0.035541,0.024642,0.031594,0.58655,0.8924,0.89224,0.89232,0.32637,0.23518,0.29443,0.84113,0.80977,0.82906,0.5443,0.72261,0.031594,0.0,5.2180000000000015e-06,5e-06,6.7754e-21,3.1,3.1
139.33,0.027834,0.018585,0.024504,0.58455,0.89182,0.89166,0.89174,0.25862,0.18018,0.23141,0.83356,0.7993,0.82037,0.545,0.7220099999999999,0.024504,0.0,5.137999999999993e-06,5e-06,6.750399999999998e-21,3.1,3.1
139.53,0.062768,0.042227,0.055326,0.58255,0.89125,0.8911,0.89117,0.59019,0.41596,0.52952,0.82599,0.78882,0.81167,0.54568,0.72141,0.055326,0.0,5.061000000000001e-06,5e-06,6.727400000000001e-21,3.1,3.1
